Cluster	Intensity	Condition	Organ	Method	Group
1	17.39211628033631	Anoxia	Root	K-means	Significant
1	17.06150738979226	Reaeration	Root	K-means	Significant
2	20.19285705738045	Control	Root	K-means	Significant
2	21.668774896324067	Anoxia	Root	K-means	Significant
2	21.428425903808858	Reaeration	Root	K-means	Significant
1	18.59759565668498	Control	Root	K-means	Annotated significant
1	20.127573894879358	Anoxia	Root	K-means	Annotated significant
1	20.37407465391522	Reaeration	Root	K-means	Annotated significant
2	22.91679506295134	Control	Root	K-means	Annotated significant
2	21.97694093334958	Anoxia	Root	K-means	Annotated significant
2	21.746624329886842	Reaeration	Root	K-means	Annotated significant
1	17.82040910266572	Control	Shoot	K-means	All
1	17.807239299383756	Anoxia	Shoot	K-means	All
1	17.769568078721086	Reaeration	Shoot	K-means	All
2	21.1260549343357	Control	Shoot	K-means	All
2	21.139224737617667	Anoxia	Shoot	K-means	All
2	21.176895958280358	Reaeration	Shoot	K-means	All
1	18.552461612149045	Control	Shoot	K-means	Annotated
1	18.958439229433854	Anoxia	Shoot	K-means	Annotated
1	18.584584748044573	Reaeration	Shoot	K-means	Annotated
2	21.5915407356356	Control	Shoot	K-means	Annotated
2	21.586385693413007	Anoxia	Shoot	K-means	Annotated
2	21.606465202460612	Reaeration	Shoot	K-means	Annotated
1	14.349783134687248	Control	Shoot	K-means	Significant
1	16.03391392774835	Anoxia	Shoot	K-means	Significant
1	14.423423645282352	Reaeration	Shoot	K-means	Significant
2	19.500183322036253	Control	Shoot	K-means	Significant
2	20.1186827495323	Anoxia	Shoot	K-means	Significant
2	20.154037035606677	Reaeration	Shoot	K-means	Significant
1	17.89831323047852	Control	Shoot	K-means	Annotated significant
1	17.572480546503975	Anoxia	Shoot	K-means	Annotated significant
1	16.713084924044875	Reaeration	Shoot	K-means	Annotated significant
2	20.594931112990334	Control	Shoot	K-means	Annotated significant
2	21.009478600082716	Anoxia	Shoot	K-means	Annotated significant
2	21.377732591022635	Reaeration	Shoot	K-means	Annotated significant
